"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpu7/core_ctl/global_state","CPU0
,CPU: 0
,Online: 1
,Isolated: 0
,First CPU: 0
,Busy%: 7
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 4
,Need CPUs: 4
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU1
,CPU: 1
,Online: 1
,Isolated: 0
,First CPU: 0
,Busy%: 2
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 4
,Need CPUs: 4
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU2
,CPU: 2
,Online: 1
,Isolated: 0
,First CPU: 0
,Busy%: 7
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 4
,Need CPUs: 4
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU3
,CPU: 3
,Online: 1
,Isolated: 0
,First CPU: 0
,Busy%: 8
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 4
,Need CPUs: 4
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU4
,CPU: 4
,Online: 1
,Isolated: 0
,First CPU: 4
,Busy%: 29
,Is busy: 0
,Not preferred: 0
,Nr running: 1
,Active CPUs: 3
,Need CPUs: 3
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU5
,CPU: 5
,Online: 1
,Isolated: 0
,First CPU: 4
,Busy%: 16
,Is busy: 0
,Not preferred: 0
,Nr running: 1
,Active CPUs: 3
,Need CPUs: 3
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU6
,CPU: 6
,Online: 1
,Isolated: 0
,First CPU: 4
,Busy%: 62
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 3
,Need CPUs: 3
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0
CPU7
,CPU: 7
,Online: 1
,Isolated: 0
,First CPU: 7
,Busy%: 100
,Is busy: 1
,Not preferred: 0
,Nr running: 1
,Active CPUs: 1
,Need CPUs: 1
,Nr isolated CPUs: 0
,Boost: 0
,OPBoost: 0"
"system/cpu/cpu7/core_ctl/min_cpus","0"
"system/cpu/cpu7/core_ctl/busy_up_thres","60 "
"system/cpu/cpu7/core_ctl/enable","1"
"system/cpu/cpu7/online","1"
"system/cpu/cpu7/topology/die_id","-1"
"system/cpu/cpu7/topology/physical_package_id","2"
"system/cpu/cpu7/topology/core_cpus_list","7"
"system/cpu/cpu7/topology/die_cpus_list","7"
"system/cpu/cpu7/topology/core_siblings","80"
"system/cpu/cpu7/topology/core_siblings_list","7"
"system/cpu/cpu7/topology/package_cpus","80"
"system/cpu/cpu7/topology/package_cpus_list","7"
"system/cpu/cpu7/topology/die_cpus","80"
"system/cpu/cpu7/topology/thread_siblings_list","7"
"system/cpu/cpu7/topology/core_id","0"
"system/cpu/cpu7/topology/core_cpus","80"
"system/cpu/cpu7/topology/thread_siblings","80"
"system/cpu/cpu7/cpu_capacity","1024"
"system/cpu/cpu7/dcvsh_freq_limit","2841600"
"system/cpu/cpu7/cache/uevent",""
"system/cpu/cpu7/cache/index2/uevent",""
"system/cpu/cpu7/cache/index2/shared_cpu_list","7"
"system/cpu/cpu7/cache/index2/type","Unified"
"system/cpu/cpu7/cache/index2/waiting_for_supplier","0"
"system/cpu/cpu7/cache/index2/level","2"
"system/cpu/cpu7/cache/index2/shared_cpu_map","80"
"system/cpu/cpu7/cache/index0/uevent",""
"system/cpu/cpu7/cache/index0/shared_cpu_list","7"
"system/cpu/cpu7/cache/index0/type","Data"
"system/cpu/cpu7/cache/index0/waiting_for_supplier","0"
"system/cpu/cpu7/cache/index0/level","1"
"system/cpu/cpu7/cache/index0/shared_cpu_map","80"
"system/cpu/cpu7/cache/index3/uevent",""
"system/cpu/cpu7/cache/index3/shared_cpu_list","0-7"
"system/cpu/cpu7/cache/index3/type","Unified"
"system/cpu/cpu7/cache/index3/waiting_for_supplier","0"
"system/cpu/cpu7/cache/index3/level","3"
"system/cpu/cpu7/cache/index3/shared_cpu_map","ff"
"system/cpu/cpu7/cache/index1/uevent",""
"system/cpu/cpu7/cache/index1/shared_cpu_list","7"
"system/cpu/cpu7/cache/index1/type","Instruction"
"system/cpu/cpu7/cache/index1/waiting_for_supplier","0"
"system/cpu/cpu7/cache/index1/level","1"
"system/cpu/cpu7/cache/index1/shared_cpu_map","80"
"system/cpu/cpu7/cache/waiting_for_supplier","0"
"system/cpu/cpu7/isolate","0"
"system/cpu/cpu7/waiting_for_supplier","0"
"system/cpu/cpu7/regs/identification/revidr_el1","0x0000000000000001"
"system/cpu/cpu7/regs/identification/midr_el1","0x00000000411fd440"
"system/cpu/cpu5/cpuidle/state1/disable","0"
"system/cpu/cpu5/cpuidle/state1/above","0"
"system/cpu/cpu5/cpuidle/state1/time","18400884508"
"system/cpu/cpu5/cpuidle/state1/power","0"
"system/cpu/cpu5/cpuidle/state1/residency","0"
"system/cpu/cpu5/cpuidle/state1/latency","1061"
"system/cpu/cpu5/cpuidle/state1/usage","322753"
"system/cpu/cpu5/cpuidle/state1/desc","rail-pc"
"system/cpu/cpu5/cpuidle/state1/below","0"
"system/cpu/cpu5/cpuidle/state1/name","C1"
"system/cpu/cpu5/cpuidle/state1/s2idle/time","0"
"system/cpu/cpu5/cpuidle/state1/s2idle/usage","0"
"system/cpu/cpu5/cpuidle/driver/name","msm_idle"
"system/cpu/cpu5/cpuidle/state0/disable","0"
"system/cpu/cpu5/cpuidle/state0/above","0"
"system/cpu/cpu5/cpuidle/state0/time","3624120213"
"system/cpu/cpu5/cpuidle/state0/power","0"
"system/cpu/cpu5/cpuidle/state0/residency","0"
"system/cpu/cpu5/cpuidle/state0/latency","43"
"system/cpu/cpu5/cpuidle/state0/usage","2741855"
"system/cpu/cpu5/cpuidle/state0/desc","wfi"
"system/cpu/cpu5/cpuidle/state0/below","2024023"
"system/cpu/cpu5/cpuidle/state0/name","C0"
"system/cpu/cpu5/uevent","OF_NAME=cpu
OF_FULLNAME=/cpus/cpu@500
OF_TYPE=cpu
OF_COMPATIBLE_0=qcom,kryo
OF_COMPATIBLE_N=1
MODALIAS=cpu:type:aarch64:feature:,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,000A,000B,000C,000F,0010,0014"
"system/cpu/cpu5/hotplug/target","211"
"system/cpu/cpu5/hotplug/state","211"
"system/cpu/cpu5/hotplug/fail","-1"
"system/cpu/cpu5/sched_load_boost","0"
"system/cpu/cpu5/power/runtime_active_time","0"
"system/cpu/cpu5/power/pm_qos_resume_latency_us","0"
"system/cpu/cpu5/power/runtime_status","unsupported"
"system/cpu/cpu5/power/autosuspend_delay_ms",""
"system/cpu/cpu5/power/runtime_suspended_time","0"
"system/cpu/cpu5/power/control","auto"
"system/cpu/cpu5/online","1"
"system/cpu/cpu5/topology/die_id","-1"
"system/cpu/cpu5/topology/physical_package_id","1"
"system/cpu/cpu5/topology/core_cpus_list","5"
"system/cpu/cpu5/topology/die_cpus_list","5"
"system/cpu/cpu5/topology/core_siblings","70"
"system/cpu/cpu5/topology/core_siblings_list","4-6"
"system/cpu/cpu5/topology/package_cpus","70"
"system/cpu/cpu5/topology/package_cpus_list","4-6"
"system/cpu/cpu5/topology/die_cpus","20"
"system/cpu/cpu5/topology/thread_siblings_list","5"
"system/cpu/cpu5/topology/core_id","1"
"system/cpu/cpu5/topology/core_cpus","20"
